title,section,genre,source_model,duration,instruments,mood,energy,function,confidence_manual,usage_context,notes
Stay in the blue light,Soft ambient intro,future R&B/alternative pop,Suno v5,03:34,soft synth pluck/female vocal ad-libs/light claps,atmospheric,very low,establishes sonic space and emotional tone before rhythmic entry,0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Intro/Vocal,future R&B/alternative pop,Suno v5,03:34,kick/light claps/sub bass/soft synth pluck/female lead vocal,intimate/restrained,low-medium,introduces vocal presence and narrative without full groove,0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Verse 1,future R&B/alternative pop,Suno v5,03:34,kick/light claps/hi-hats/sub bass/soft synth pluck/female lead vocal,introspective/sensual,medium,main narrative section; maintains groove with minimal arrangement,0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Pre-Chorus 1,future R&B/alternative pop,Suno v5,03:34,female lead vocal/low-register pad,calm/anticipatory,low,builds emotional tension and prepares transition to chorus,0.7,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Chorus 1,future R&B/alternative pop,Suno v5,03:34,kick/light claps/hi-hats/sub bass/female lead vocal/vocal FX,hypnotic/sensual,medium,main hook;groove release,0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Verse 2,future R&B/alternative pop,Suno v5,03:34,kick/light claps/hi-hats/sub bass/female lead vocal,introspective/sensual,medium,groove continuation with vocal variation,0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support. 
Stay in the blue light,Pre-Chorus 2,future R&B/alternative pop,Suno v5,03:34,female lead vocal/warm rhodes,suspended/emotional lift,low,second suspension point before chorus return,0.7,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support. 
Stay in the blue light,Chorus 2,future R&B/alternative pop,Suno v5,03:34,kick/light claps/hi-hats/sub bass/female lead vocal,hypnotic/sensual,medium,repetition of main hook (no added intensity),0.8,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Bridge,future R&B/alternative pop,Suno v5,03:34,female lead vocal/soft synth pluck/warm rhodes/riser FX,dreamy/suspended,low,contrast section with reduced percussion and harmonic space,0.7,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Final Chorus,future R&B/alternative pop,Suno v5,03:34,kick/light claps/hi-hats/sub bass/female lead vocal/FX,sensual/groove-driven,medium-high,final statement of main hook(climax),0.7,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.
Stay in the blue light,Outro,future R&B/alternative pop,Suno v5,03:34,female vocal ad-libs/vocal FX/synth bass/warm rhodes,fading/atmospheric/restrained,very low,de-escalation and closure,0.7,Modern pop / R&B song cue for streaming platforms/playlists/vocal-centric AI training datasets,High-quality/realistic female vocal with strong audio fidelity and cohesive mood/instrumentation. Potential improvements include a more engaging bridge (e.g. added rhythmic elements or harmonic variation) and subtle melodic or rhythmic micro-variations in Rhodes or synth parts.Airy pads requested in the prompt are not clearly audible; a low-register pad or synth layer provides harmonic support.